input size: 67108864
improved scalar                                                 ... 0.22903
scalar                                                          ... 0.27626 (speed up: 0.83)
scalar & BMI2                                                   ... 0.26313 (speed up: 0.87)
SSE (lookup: base, pack: naive)                                 ... 0.13239 (speed up: 1.73)
SSE (lookup: byte blend, pack: naive)                           ... 0.24862 (speed up: 0.92)
SSE (lookup: incremental, pack: naive)                          ... 0.17422 (speed up: 1.31)
SSE (lookup: pshufb, pack: naive)                               ... 0.19355 (speed up: 1.18)
SSE (lookup: base, pack: improved)                              ... 0.12919 (speed up: 1.77)
SSE (lookup: byte blend, pack: improved)                        ... 0.24565 (speed up: 0.93)
SSE (lookup: incremental, pack: improved)                       ... 0.17094 (speed up: 1.34)
SSE (lookup: pshufb, pack: improved)                            ... 0.19012 (speed up: 1.20)
SSE (lookup: base, pack: improved + mult-add)                   ... 0.11662 (speed up: 1.96)
SSE (lookup: byte blend, pack: improved + mult-add)             ... 0.23239 (speed up: 0.99)
SSE (lookup: incremental, pack: improved + mult-add)            ... 0.15798 (speed up: 1.45)
SSE (lookup: pshufb, pack: improved + mult-add)                 ... 0.19348 (speed up: 1.18)
SSE (lookup: base, pack: multiply-add)                          ... 0.11978 (speed up: 1.91)
SSE (lookup: byte blend, pack: multiply-add)                    ... 0.23554 (speed up: 0.97)
SSE (lookup: incremental, pack: multiply-add)                   ... 0.16126 (speed up: 1.42)
SSE (lookup: pshufb, pack: multiply-add)                        ... 0.18049 (speed up: 1.27)
SSE & BMI2 (lookup: base, pack: N/A)                            ... 0.10693 (speed up: 2.14)
SSE & BMI2 (lookup: byte blend, pack: N/A)                      ... 0.23209 (speed up: 0.99)
SSE & BMI2 (lookup: incremental, pack: N/A)                     ... 0.14814 (speed up: 1.55)
AVX2 (lookup: base, pack: naive)                                ... 0.08807 (speed up: 2.60)
AVX2 (lookup: byte blend, pack: naive)                          ... 0.14393 (speed up: 1.59)
AVX2 (lookup: pshufb, pack: naive)                              ... 0.13793 (speed up: 1.66)
AVX2 (lookup: base, pack: improved)                             ... 0.08680 (speed up: 2.64)
AVX2 (lookup: byte blend, pack: improved)                       ... 0.14227 (speed up: 1.61)
AVX2 (lookup: pshufb, pack: improved)                           ... 0.13640 (speed up: 1.68)
AVX2 (lookup: base, pack: improved + mult-add)                  ... 0.09812 (speed up: 2.33)
AVX2 (lookup: byte blend, pack: improved + mult-add)            ... 0.15356 (speed up: 1.49)
AVX2 (lookup: pshufb, pack: improved + mult-add)                ... 0.13651 (speed up: 1.68)
AVX2 (lookup: base, pack: multiply-add)                         ... 0.10940 (speed up: 2.09)
AVX2 (lookup: byte blend, pack: multiply-add)                   ... 0.16510 (speed up: 1.39)
AVX2 (lookup: pshufb, pack: multiply-add)                       ... 0.14774 (speed up: 1.55)
AVX2 & BMI2 (lookup: base, pack: N/A)                           ... 0.09554 (speed up: 2.40)
AVX2 & BMI2 (lookup: byte blend, pack: N/A)                     ... 0.15628 (speed up: 1.47)
AVX512 (gather)                                                 ... 0.05130 (speed up: 4.46)
AVX512 (store: vectorized) (lookup: vectorized, pack: improved) ... 0.03939 (speed up: 5.82)
AVX512 (store: scatter) (lookup: vectorized, pack: improved)    ... 0.04179 (speed up: 5.48)
