input size: 201326592
scalar (32 bit)                         ... 0.63622
scalar (64 bit)                         ... 0.58195 (speedup 1.09)
SWAR (64 bit)                           ... 0.59744 (speedup 1.06)
SSE (lookup: naive)                     ... 0.36202 (speedup 1.76)
SSE (lookup: other improved)            ... 0.34828 (speedup 1.83)
SSE (lookup: improved)                  ... 0.33530 (speedup 1.90)
SSE (lookup: pshufb-based)              ... 0.59219 (speedup 1.07)
SSE (lookup: pshufb improved)           ... 0.39979 (speedup 1.59)
SSE (lookup: other improved, unrolled)  ... 0.32369 (speedup 1.97)
SSE (lookup: improved, unrolled)        ... 0.30656 (speedup 2.08)
SSE (lookup: pshufb-based, unrolled)    ... 0.54293 (speedup 1.17)
SSE (lookup: pshufb improved unrolled)  ... 0.38233 (speedup 1.66)
SSE (fully unrolled improved lookup)    ... 0.30923 (speedup 2.06)
SSE & BMI2 (lookup: naive)              ... 0.24178 (speedup 2.63)
SSE & BMI2 (lookup: improved)           ... 0.25957 (speedup 2.45)
AVX2 (lookup: improved)                 ... 0.19553 (speedup 3.25)
AVX2 (lookup: improved, unrolled)       ... 0.18913 (speedup 3.36)
AVX2 (lookup: pshufb-based)             ... 0.35130 (speedup 1.81)
AVX2 (lookup: pshufb-based, unrolled)   ... 0.33918 (speedup 1.88)
AVX2 (lookup: pshufb improved)          ... 0.23698 (speedup 2.68)
AVX2 (lookup: pshufb unrolled improved) ... 0.22970 (speedup 2.77)
AVX512 (incremental logic)              ... 0.11850 (speedup 5.37)
AVX512 (incremental logic improved)     ... 0.11604 (speedup 5.48)
AVX512 (binary search)                  ... 0.14399 (speedup 4.42)
AVX512 (gather)                         ... 0.24361 (speedup 2.61)
